Time (s),A_x,A_y,A_z,Gyr_x,Gyr_y,Gyr_z,freq,speed,state
57.41768965,6.444937332,1.362975444,-3.301397599,-1.299306512,1.220107079,0.312062442,998.9235022,-0.366403692,walking
57.43294463,2.171086375,0.523742123,0.295046116,-0.702482939,-3.528149128,-3.049449205,1003.034791,1.028707067,walking
57.48294567,-4.917776166,-4.312467724,5.237628803,-0.932537377,1.48161602,0.808473587,997.6190871,-0.811442356,walking
57.53294671,-1.215254896,-5.941550537,-3.15764731,1.700155139,2.001041889,3.358650684,998.4045283,-0.54332725,walking
57.58294775,-1.66189534,1.398038857,1.20472903,-2.740399599,3.605054617,0.155940101,1001.533813,0.520697663,walking
57.61768965,2.295006708,-0.554972686,1.085446416,0.501947522,-0.710297763,1.96823597,996.8393169,-1.078039595,walking
57.65062967,7.915530195,-0.630898781,-0.575581783,0.640162826,-0.880887389,-1.709759355,996.6487349,-1.143261515,walking
57.70063071,1.990278772,-1.940460495,2.008771761,-1.604217291,-1.701791883,-3.258228064,1002.027624,0.687997299,walking
57.75063175,-2.720671436,-5.936957549,4.941165614,-0.515994489,0.351507932,-0.081397094,998.6824422,-0.448560644,walking
57.80063279,-1.733395386,-4.487277253,-3.099860448,2.586559296,-0.262777388,1.823812246,1001.408269,0.47813802,walking
57.81768965,-0.865879083,-0.687827273,-0.768638425,-0.937078953,0.076294877,2.729208708,1001.760885,0.597648622,walking
57.85063383,8.507984703,-1.709437004,0.497526424,0.404629856,1.98548615,2.700699329,996.8077333,-1.08884655,walking
57.90063488,5.03161093,0.939403727,-1.755484851,0.587877691,-2.776927233,-2.191554308,1003.303061,1.119343313,walking
57.95063592,1.034806897,-5.206530971,2.827498312,-1.884218812,-0.259105116,-3.59910512,996.4908452,-1.197314209,walking
58.00063696,-5.906575416,-8.295619678,2.201888045,0.37654236,1.037981391,-1.316787958,997.2638431,-0.932845775,walking
58.01768965,-1.636511115,-2.138415642,-3.871522175,0.571737289,-0.139714032,1.967134595,999.2307226,-0.261755674,walking
58.050638,0.384388063,-1.259900726,-0.585326167,-2.93387413,0.778608024,2.515659809,1002.667334,0.904481127,walking
58.10063904,7.812768888,-1.761950263,1.135000691,0.390759558,-0.449361473,0.147359371,1002.341916,0.794391097,walking
58.17809879,3.343064273,-0.688941168,-3.32971011,1.569512248,-1.67105329,-3.387578726,998.6438109,-0.461730472,walking
58.21768965,-6.647679595,-2.622427104,1.59261022,0.722834468,-0.059599251,-1.495460153,1003.098482,1.05022983,walking
